Country,Investment area,Year,Funder,Amount,Basis
Côte d'Ivoire,Frontline healthcare workers,2029,Government,52538490.0,Imputed from FTEs
Côte d'Ivoire,Frontline healthcare workers,2030,Government,70051320.0,Imputed from FTEs
Côte d'Ivoire,Frontline lab workers,2027,Government,1546474.0,Imputed from FTEs
Côte d'Ivoire,Frontline lab workers,2028,Government,3092949.0,Imputed from FTEs
Côte d'Ivoire,Frontline lab workers,2029,Government,4639423.0,Imputed from FTEs
Côte d'Ivoire,Frontline lab workers,2030,Government,6185897.0,Imputed from FTEs
Côte d'Ivoire,Laboratory commodities,2026,Government,11000000.0,Printed in MoU
Côte d'Ivoire,Laboratory commodities,2027,Government,11700000.0,Printed in MoU
Côte d'Ivoire,Laboratory commodities,2028,Government,12400000.0,Printed in MoU
Côte d'Ivoire,Laboratory commodities,2029,Government,13100000.0,Printed in MoU
Côte d'Ivoire,Laboratory commodities,2030,Government,13800000.0,Printed in MoU
Côte d'Ivoire,Laboratory commodities,2026,USG,4600000.0,Printed in MoU
Côte d'Ivoire,Laboratory commodities,2027,USG,3900000.0,Printed in MoU
Côte d'Ivoire,Laboratory commodities,2028,USG,3200000.0,Printed in MoU
Côte d'Ivoire,Laboratory commodities,2029,USG,2500000.0,Printed in MoU
Côte d'Ivoire,Laboratory commodities,2030,USG,1800000.0,Printed in MoU
Côte d'Ivoire,Other commodities,2026,Government,25000000.0,Printed in MoU
Côte d'Ivoire,Other commodities,2027,Government,35000000.0,Printed in MoU
Côte d'Ivoire,Other commodities,2028,Government,40500000.0,Printed in MoU
Côte d'Ivoire,Other commodities,2029,Government,44500000.0,Printed in MoU
Côte d'Ivoire,Other commodities,2030,Government,48000000.0,Printed in MoU
Côte d'Ivoire,Other commodities,2026,USG,30500000.0,Printed in MoU
Côte d'Ivoire,Other commodities,2027,USG,19500000.0,Printed in MoU
Côte d'Ivoire,Other commodities,2028,USG,18500000.0,Printed in MoU
Côte d'Ivoire,Other commodities,2029,USG,10000000.0,Printed in MoU
Côte d'Ivoire,Other commodities,2030,USG,6500000.0,Printed in MoU
Côte d'Ivoire,Strategic assistance / investment,2026,USG,47065040.0,Printed in MoU
Côte d'Ivoire,Strategic assistance / investment,2027,USG,53229040.0,Printed in MoU
Côte d'Ivoire,Strategic assistance / investment,2028,USG,54729040.0,Printed in MoU
Côte d'Ivoire,Strategic assistance / investment,2029,USG,49125040.0,Printed in MoU
Côte d'Ivoire,Strategic assistance / investment,2030,USG,32405040.0,Printed in MoU
Côte d'Ivoire,Surveillance & outbreak response,2026,USG,3916000.0,Printed in MoU
Côte d'Ivoire,Surveillance & outbreak response,2027,USG,3916000.0,Printed in MoU
Côte d'Ivoire,Surveillance & outbreak response,2028,USG,3916000.0,Printed in MoU
Côte d'Ivoire,Surveillance & outbreak response,2029,USG,3916000.0,Printed in MoU
Côte d'Ivoire,Surveillance & outbreak response,2030,USG,3916000.0,Printed in MoU
Ethiopia,All areas combined,2027,Government,109763.0,Imputed from FTEs
Ethiopia,All areas combined,2028,Government,214038.0,Imputed from FTEs
Ethiopia,All areas combined,2029,Government,323802.0,Imputed from FTEs
Ethiopia,All areas combined,2030,Government,433565.0,Imputed from FTEs
Ethiopia,All areas combined,2026,Government,0.0,Printed in MoU
Ethiopia,All areas combined,2027,Government,14427776.0,Printed in MoU
Ethiopia,All areas combined,2028,Government,28855553.0,Printed in MoU
Ethiopia,All areas combined,2029,Government,43281581.0,Printed in MoU
Ethiopia,All areas combined,2030,Government,57709358.0,Printed in MoU
Ethiopia,All areas combined,2026,USG,189000001.0,Printed in MoU
Ethiopia,All areas combined,2027,USG,240124220.0,Printed in MoU
Ethiopia,All areas combined,2028,USG,232003620.0,Printed in MoU
Ethiopia,All areas combined,2029,USG,175001809.0,Printed in MoU
Ethiopia,All areas combined,2030,USG,126040000.0,Printed in MoU
Ethiopia,Data systems,2026,USG,6283383.0,Printed in MoU
Ethiopia,Data systems,2027,USG,5026706.0,Printed in MoU
Ethiopia,Data systems,2028,USG,3770030.0,Printed in MoU
Ethiopia,Data systems,2029,USG,2513353.0,Printed in MoU
Ethiopia,Data systems,2030,USG,1256677.0,Printed in MoU
Ethiopia,Frontline healthcare workers,2026,Government,0.0,Printed in MoU
Ethiopia,Frontline healthcare workers,2027,Government,3543790.0,Printed in MoU
Ethiopia,Frontline healthcare workers,2028,Government,7087580.0,Printed in MoU
Ethiopia,Frontline healthcare workers,2029,Government,10629621.0,Printed in MoU
Ethiopia,Frontline healthcare workers,2030,Government,14173411.0,Printed in MoU
Ethiopia,Frontline healthcare workers,2026,USG,14173411.0,Printed in MoU
Ethiopia,Frontline healthcare workers,2027,USG,10629621.0,Printed in MoU
Ethiopia,Frontline healthcare workers,2028,USG,7087580.0,Printed in MoU
Ethiopia,Frontline healthcare workers,2029,USG,3543790.0,Printed in MoU
Ethiopia,Frontline healthcare workers,2030,USG,0.0,Printed in MoU
Ethiopia,Frontline lab workers,2027,Government,109763.0,Imputed from FTEs
Ethiopia,Frontline lab workers,2028,Government,214038.0,Imputed from FTEs
Ethiopia,Frontline lab workers,2029,Government,323802.0,Imputed from FTEs
Ethiopia,Frontline lab workers,2030,Government,433565.0,Imputed from FTEs
Ethiopia,Frontline lab workers,2026,USG,433565.0,Printed in MoU
Ethiopia,Frontline lab workers,2027,USG,323802.0,Printed in MoU
Ethiopia,Frontline lab workers,2028,USG,219527.0,Printed in MoU
Ethiopia,Frontline lab workers,2029,USG,109763.0,Printed in MoU
Ethiopia,Frontline lab workers,2030,USG,0.0,Printed in MoU
Ethiopia,Laboratory commodities,2026,Government,0.0,Printed in MoU
Ethiopia,Laboratory commodities,2027,Government,3139149.0,Printed in MoU
Ethiopia,Laboratory commodities,2028,Government,6278298.0,Printed in MoU
Ethiopia,Laboratory commodities,2029,Government,9417448.0,Printed in MoU
Ethiopia,Laboratory commodities,2030,Government,12556597.0,Printed in MoU
Ethiopia,Laboratory commodities,2026,USG,12556597.0,Printed in MoU
Ethiopia,Laboratory commodities,2027,USG,9417448.0,Printed in MoU
